[META]
film=FOMA 100
date=05.03.2022
DIN=21
developer=510-pyro
dilution=1+100
time=9:00
aggitation=60/60/10
temperature=21.0°C

[DATA]
0.10=(1.210, 1.205, 1.230, 1.235, 1.245)
0.25=(1.180, 1.170, 1.165, 1.195, 1.210)
0.42=(1.110, 1.110, 1.110, 1.125, 1.145)
0.60=(1.060, 1.045, 1.050, 1.070, 1.085)
0.76=(1.000, 0.990, 1.005, 1.020, 1.035)
0.91=(0.915, 0.915, 0.930, 0.950, 0.960)
1.07=(0.840, 0.845, 0.850, 0.865, 0.870)
1.25=(0.725, 0.740, 0.750, 0.765, 0.770)
1.42=(0.620, 0.630, 0.645, 0.645, 0.650)
1.56=(0.535, 0.535, 0.540, 0.555, 0.550)
1.71=(0.430, 0.420, 0.435, 0.445, 0.460, 0.440, 0.445, 0.450, 0.450, 0.460)
1.87=(0.340, 0.350, 0.360, 0.360, 0.370)
2.01=(0.255, 0.270, 0.270, 0.275, 0.270)
2.17=(0.185, 0.185, 0.195, 0.205, 0.195)
2.30=(0.120, 0.130, 0.140, 0.135, 0.135)
2.46=(0.080, 0.080, 0.080, 0.085, 0.095)
2.58=(0.055, 0.055, 0.060, 0.065, 0.065)
2.75=(0.035, 0.050, 0.040, 0.040, 0.040)
2.87=(0.035, 0.030, 0.030, 0.030, 0.030)
3.03=(0.025, 0.025, 0.025, 0.020, 0.025)
3.16=(0.025, 0.020, 0.020, 0.020, 0.025)
