[META]
film=FOMA 100
date=24.02.2022
DIN=21
developer=Halcyon
dilution=stock
time=16:00
aggitation=60/60/15
temperature=21.0°C

[DATA]
0.10=(1.825, 1.830, 1.855, 1.860, 1.860)
0.25=(1.800, 1.790, 1.800, 1.800, 1.820)
0.42=(1.720, 1.720, 1.720, 1.750, 1.750)
0.60=(1.625, 1.635, 1.635, 1.655, 1.670)
0.76=(1.530, 1.540, 1.545, 1.570, 1.600)
0.91=(1.440, 1.435, 1.435, 1.450, 1.455)
1.07=(1.320, 1.300, 1.310, 1.320, 1.340)
1.25=(1.150, 1.165, 1.160, 1.180, 1.190)
1.42=(0.970, 0.960, 1.055, 0.975, 1.000)
1.56=(0.810, 0.805, 0.845, 0.835, 0.840)
1.71=(0.645, 0.645, 0.670, 0.670, 0.680, 0.670, 0.655, 0.670, 0.680, 0.675)
1.87=(0.500, 0.515, 0.520, 0.540, 0.555)
2.01=(0.400, 0.410, 0.420, 0.425, 0.435)
2.17=(0.210, 0.215, 0.230, 0.230, 0.245)
2.30=(0.290, 0.290, 0.305, 0.310, 0.320)
2.46=(0.130, 0.140, 0.145, 0.160, 0.150)
2.58=(0.085, 0.085, 0.095, 0.095, 0.090)
2.75=(0.055, 0.060, 0.055, 0.055, 0.060)
2.87=(0.035, 0.040, 0.035, 0.035, 0.035)
3.03=(0.025, 0.020, 0.015, 0.020, 0.030)
3.16=(0.020, 0.020, 0.020, 0.020, 0.020)
