[META]
film=FOMA 100
date=24.02.2022
DIN=21
developer=Hypercat
dilution=1+1+100
time=25:00
aggitation=30/180/10
temperature=21.0°C

[DATA]
0.10=(1.700, 1.700, 1.725, 1.735, 1.745)
0.25=(1.645, 1.645, 1.640, 1.640, 1.655)
0.42=(1.560, 1.565, 1.565, .1560, 1.560)
0.60=(1.485, 1.490, 1.490, 1.490, 1.490)
0.76=(1.390, 1.405, 1.405, 1.395, 1.410)
0.91=(1.290, 1.295, 1.300, 1.305, 1.295)
1.07=(1.165, 1.165, 1.165, 1.155, 1.170)
1.25=(1.025, 1.035, 1.045, 1.030, 1.020)
1.42=(0.900, 0.910, 0.920, 0.910, 0.910)
1.56=(0.770, 0.770, 0.770, 0.765, 0.770)
1.71=(0.625, 0.620, 0.625, 0.630, 0.630, 0.580, 0.595, 0.610, 0.620, 0.625)
1.87=(0.490, 0.505, 0.515, 0.515, 0.530)
2.01=(0.405, 0.425, 0.440, 0.445, 0.460)
2.17=(0.305, 0.315, 0.330, 0.350, 0.355)
2.30=(0.230, 0.240, 0.265, 0.275, 0.275)
2.46=(0.155, 0.160, 0.175, 0.185, 0.195)
2.58=(0.105, 0.105, 0.120, 0.125, 0.135)
2.75=(0.065, 0.065, 0.070, 0.075, 0.080)
2.87=(0.050, 0.045, 0.050, 0.060, 0.050)
3.03=(0.040, 0.040, 0.040, 0.050, 0.050)
3.16=(0.045, 0.045, 0.045, 0.045, 0.050)
