[META]
film=FOMAPAN 100
date=04.02.2024
ISO=50
developer=GSD-10
dilution=1+1+18
time=60:00
aggitation=60/-/-
temperature=21.0°C
fog=0.395

[DATA]
0.10=(2.250, 2.190, 2.080)
0.25=(1.990, 1.930, 1.895)
0.42=(1.780, 1.775, 1.745)
0.60=(1.685, 1.665, 1.645)
0.76=(1.675, 1.600, 1.590)
0.91=(1.660, 1.575, 1.505)
1.07=(1.535, 1.480, 1.380)
1.25=(1.335, 1.305, 1.255)
1.42=(1.155, 1.150, 1.085)
1.56=(1.030, 1.000, 0.965)
1.71=(0.905, 0.890, 0.860, 0.990, 1.035, 1.015)
1.87=(0.980, 1.015, 1.005)
2.01=(0.965, 1.015, 0.990)
2.17=(0.940, 1.000, 0.950)
2.30=(0.915, 0.945, 0.905)
2.46=(0.820, 0.870, 0.810)
2.58=(0.715, 0.695, 0.710)
2.75=(0.580, 0.590, 0.610)
2.87=(0.505, 0.520, 0.540)
3.03=(0.470, 0.480, 0.490)
3.16=(0.455, 0.475, 0.475)
