[META]
film=FOMAPAN 100
date=04.02.2024
ISO=50
developer=Halcyon
dilution=stock
time=15:00
aggitation=60/60/10
temperature=21.0°C
fog=0.180

[DATA]
0.10=(1.580, 1.600, 1.600)
0.25=(1.550, 1.575, 1.555)
0.42=(1.495, 1.520, 1.495)
0.60=(1.445, 1.460, 1.450)
0.76=(1.385, 1.400, 1.390)
0.91=(1.310, 1.325, 1.315)
1.07=(1.230, 1.240, 1.230)
1.25=(1.110, 1.120, 1.130)
1.42=(0.970, 0.975, 0.990)
1.56=(0.835, 0.840, 0.845)
1.71=(0.685, 0.680, 0.715, 0.690, 0.715, 0.730)
1.87=(0.615, 0.645, 0.650)
2.01=(0.545, 0.575, 0.590)
2.17=(0.475, 0.505, 0.525)
2.30=(0.410, 0.445, 0.460)
2.46=(0.345, 0.370, 0.385)
2.58=(0.290, 0.310, 0.330)
2.75=(0.240, 0.250, 0.270)
2.87=(0.210, 0.220, 0.230)
3.03=(0.200, 0.205, 0.210)
3.16=(0.195, 0.200, 0.200)
