[META]
film=FOMAPAN 100
date=04.02.2024
ISO=50
developer=Hypercat
dilution=1+1+100
time=30:00
aggitation=30/180/10
temperature=21.0°C
fog=0.425

[DATA]
0.10=(2.460, 2.440, 2.430)
0.25=(2.420, 2.390, 2.420)
0.42=(2.360, 2.340, 2.330)
0.60=(2.330, 2.290, 2.280)
0.76=(2.230, 2.200, 2.190)
0.91=(2.190, 2.150, 2.130)
1.07=(2.070, 2.030, 2.040)
1.25=(1.950, 1.925, 1.910)
1.42=(1.780, 1.765, 1.720)
1.56=(1.600, 1.570, 1.550)
1.71=(1.385, 1.360, 1.380, 1.350, 1.370, 1.400)
1.87=(1.225, 1.260, 1.300)
2.01=(1.125, 1.165, 1.185)
2.17=(0.985, 1.045, 1.050)
2.30=(0.895, 0.910, 0.940)
2.46=(0.770, 0.780, 0.825)
2.58=(0.670, 0.685, 0.700)
2.75=(0.575, 0.585, 0.595)
2.87=(0.515, 0.525, 0.545)
3.03=(0.475, 0.475, 0.485)
3.16=(0.455, 0.455, 0.470)
