[META]
film=FOMAPAN 100
date=08.02.2024
ISO=50
developer=PMK
dilution=1+2+100
time=18:00
aggitation=60/60/10
temperature=21.0°C
fog=0.225

[DATA]
0.10=(1.755, 1.780, 1.795)
0.25=(1.740, 1.755, 1.775)
0.42=(1.680, 1.725, 1.730)
0.60=(1.645, 1.670, 1.675)
0.76=(1.580, 1.610, 1.605)
0.91=(1.515, 1.555, 1.535)
1.07=(1.455, 1.460, 1.480)
1.25=(1.340, 1.375, 1.365)
1.42=(1.230, 1.245, 1.245)
1.56=(1.100, 1.125, 1.095)
1.71=(0.955, 0.940, 0.960, 0.930, 0.965, 0.950)
1.87=(0.850, 0.885, 0.880)
2.01=(0.755, 0.805, 0.810)
2.17=(0.665, 0.700, 0.725)
2.30=(0.610, 0.635, 0.660)
2.46=(0.520, 0.545, 0.560)
2.58=(0.445, 0.455, 0.480)
2.75=(0.375, 0.390, 0.395)
2.87=(0.325, 0.335, 0.340)
3.03=(0.280, 0.285, 0.290)
3.16=(0.260, 0.265, 0.265)
