[META]
film=FOMAPAN 100
date=09.03.2024
ISO=50
developer=Pyrocat-HDC
dilution=1+1+100
time=12:00
aggitation=60/60/10
temperature=21.0°C
fog=0.135

[DATA]
0.10=(1.430, 1.400, 1.370)
0.25=(1.400, 1.385, 1.355)
0.42=(1.340, 1.340, 1.300)
0.60=(1.310, 1.285, 1.250)
0.76=(1.230, 1.200, 1.190)
0.91=(1.160, 1.145, 1.130)
1.07=(1.080, 1.060, 1.045)
1.25=(0.985, 0.965, 0.960)
1.42=(0.870, 0.860, 0.845)
1.56=(0.780, 0.770, 0.760)
1.71=(0.665, 0.640, 0.660, 0.640, 0.655, 0.670)
1.87=(0.575, 0.575, 0.585)
2.01=(0.510, 0.510, 0.505)
2.17=(0.435, 0.445, 0.435)
2.30=(0.375, 0.385, 0.370)
2.46=(0.300, 0.305, 0.310)
2.58=(0.245, 0.250, 0.255)
2.75=(0.200, 0.205, 0.205)
2.87=(0.170, 0.175, 0.180)
3.03=(0.160, 0.160, 0.160)
3.16=(0.155, 0.160, 0.150)
