[META]
film=FOMAPAN 100
date=19.05.2024
ISO=50
developer=Pyrocat-PC
dilution=1+1+100
time=15:45
aggitation=60/60/10
temperature=21.0°C
fog=0.185

[DATA]
0.10=(1.560, 1.555, 1.555)
0.25=(1.525, 1.525, 1.525)
0.42=(1.470, 1.480, 1.465)
0.60=(1.395, 1.380, 1.390)
0.76=(1.315, 1.305, 1.310)
0.91=(1.225, 1.215, 1.215)
1.07=(1.130, 1.110, 1.115)
1.25=(1.015, 1.000, 0.995)
1.42=(0.875, 0.855, 0.865)
1.56=(0.750, 0.725, 0.730)
1.71=(0.615, 0.620, 0.625, 0.625, 0.630, 0.650)
1.87=(0.570, 0.580, 0.590)
2.01=(0.495, 0.525, 0.525)
2.17=(0.435, 0.460, 0.465)
2.30=(0.380, 0.400, 0.405)
2.46=(0.325, 0.340, 0.345)
2.58=(0.280, 0.290, 0.290)
2.75=(0.245, 0.245, 0.255)
2.87=(0.220, 0.225, 0.230)
3.03=(0.195, 0.205, 0.215)
3.16=(0.195, 0.200, 0.205)
