[META]
film=FOMAPAN 100
date=04.02.2024
ISO=50
developer=Pyrocat-PPDeqm
dilution=1+1+100
time=22:00
aggitation=60/60/10
temperature=21.0°C
fog=0.240

[DATA]
0.10=(1.875, 1.895, 1.900)
0.25=(1.865, 1.875, 1.875)
0.42=(1.820, 1.815, 1.810)
0.60=(1.760, 1.755, 1.755)
0.76=(1.695, 1.700, 1.705)
0.91=(1.630, 1.625, 1.625)
1.07=(1.570, 1.565, 1.605)
1.25=(1.470, 1.470, 1.455)
1.42=(1.345, 1.355, 1.335)
1.56=(1.245, 1.250, 1.215)
1.71=(1.105, 1.100, 1.110, 1.045, 1.85, 1.100)
1.87=(0.970, 0.980, 1.000)
2.01=(0.885, 0.905, 0.905)
2.17=(0.785, 0.805, 0.810)
2.30=(0.695, 0.720, 0.725)
2.46=(0.600, 0.620, 0.625)
2.58=(0.515, 0.520, 0.525)
2.75=(0.425, 0.430, 0.430)
2.87=(0.360, 0.370, 0.370)
3.03=(0.300, 0.305, 0.315)
3.16=(0.275, 0.285, 0.290)
