[META]
film=FOMAPAN 100
date=27.01.2024
ISO=50
developer=W665 (replenished)
dilution=stock
time=11:30
aggitation=60/60/10
temperature=18.0°C
fog=0.175

[DATA]
0.10=(1.640, 1.605, 1.620)
0.25=(1.575, 1.540, 1.570)
0.42=(1.495, 1.485, 1.520)
0.60=(1.415, 1.395, 1.450)
0.76=(1.335, 1.295, 1.355)
0.91=(1.235, 1.220, 1.255)
1.07=(1.140, 1.104, 1.125)
1.25=(0.985, 0.985, 1.010)
1.42=(0.825, 0.830, 0.845)
1.56=(0.685, 0.690, 0.700)
1.71=(0.525, 0.520, 0.550, 0.520, 0.540, 0.550)
1.87=(0.475, 0.490, 0.490)
2.01=(0.425, 0.445, 0.450)
2.17=(0.365, 0.395, 0.400)
2.30=(0.330, 0.345, 0.360)
2.46=(0.285, 0.300, 0.305)
2.58=(0.245, 0.255, 0.275)
2.75=(0.210, 0.225, 0.230)
2.87=(0.185, 0.195, 0.200)
3.03=(0.175, 0.185, 0.185)
3.16=(0.180, 0.175, 0.180)
