[META]
film=FP4+
date=24.01.2022
DIN=22
developer=GSD-10
dilution=1+1+18
time=20:00
aggitation=60/-/-
temperature=22.0°C

[DATA]
0.10=(1.280, 1.275, 1.310, 1.305, 1.290)
0.25=(1.200, 1.205, 1.135, 1.135, 1.150)
0.42=(1.140, 1.205, 1.065, 1.045, 1.065)
0.60=(1.075, 1.030, 1.025, 1.000, 1.020)
0.76=(1.000, 0.955, 0.960, 0.925, 0.995)
0.91=(0.950, 0.920, 0.865, 0.865, 0.955)
1.07=(0.840, 0.790, 0.785, 0.820, 0.830)
1.25=(0.735, 0.705, 0.685, 0.725, 0.740)
1.42=(0.615, 0.590, 0.590, 0.625, 0.625)
1.56=(0.530, 0.510, 0.505, 0.525, 0.525)
1.71=(0.425, 0.410, 0.410, 0.425, 0.440, 0.450, 0.465, 0.480, 0.450, 0.450)
1.87=(0.440, 0.410, 0.415, 0.415, 0.400)
2.01=(0.355, 0.370, 0.365, 0.355, 0.355)
2.17=(0.295, 0.310, 0.305, 0.290, 0.030)
2.30=(0.250, 0.260, 0.245, 0.240, 0.250)
2.46=(0.195, 0.190, 0.185, 0.195, 0.195)
2.58=(0.140, 0.130, 0.135, 0.145, 0.150)
2.75=(0.085, 0.085, 0.085, 0.095, 0.095)
2.87=(0.060, 0.060, 0.065, 0.065, 0.070)
3.03=(0.030, 0.035, 0.040, 0.040, 0.035)
3.16=(0.025, 0.035, 0.030, 0.035, 0.035)
