[META]
film=FP4+
date=21.01.2022
DIN=22
developer=Halcyon
dilution=stock
time=8:30
aggitation=60/60/15
temperature=21.0°C

[DATA]
0.10=(1.260, 1.255, 1.245, 1.250, 1.270)
0.25=(1.195, 1.190, 1.185, 1.195, 1.200)
0.42=(1.120, 1.125, 1.110, 1.110, 1.120)
0.60=(1.035, 1.025, 1.020, 1.025, 1.035)
0.76=(0.955, 0.945, 0.945, 0.945, 0.960)
0.91=(0.860, 0.860, 0.850, 0.870, 0.875)
1.07=(0.775, 0.760, 0.765, 0.770, 0.785)
1.25=(0.675, 0.665, 0.675, 0.665, 0.675)
1.42=(0.555, 0.560, 0.575, 0.600, 0.575)
1.56=(0.460, 0.470, 0.465, 0.475, 0.480)
1.71=(0.365, 0.370, 0.375, 0.380, 0.380, 0.355, 0.360, 0.375, 0.380, 0.385)
1.87=(0.285, 0.295, 0.305, 0.310, 0.315)
2.01=(0.230, 0.235, 0.245, 0.245, 0.250)
2.17=(0.175, 0.175, 0.185, 0.190, 0.190)
2.30=(0.130, 0.140, 0.140, 0.145, 0.145)
2.46=(0.090, 0.090, 0.065, 0.065, 0.070)
2.58=(0.060, 0.060, 0.065, 0.065, 0.070)
2.75=(0.035, 0.035, 0.035, 0.040, 0.045)
2.87=(0.020, 0.030, 0.025, 0.020, 0.025)
3.03=(0.015, 0.015, 0.015, 0.020, 0.015)
3.16=(0.010, 0.000, 0.010, 0.010, 0.000)
