[META]
film=FP4+
date=02.02.2022
DIN=22
developer=Hypercat
dilution=1+1+100
time=16:00
aggitation=30/180/10
temperature=21.0°C

[DATA]
0.10=(1.895, 1.895, 1.895, 1.910, 1.920)
0.25=(1.810, 1.790, 1.780, 1.785, 1.805)
0.42=(1.715, 1.705, 1.690, 1.695, 1.725)
0.60=(1.625, 1.605, 1.600, 1.615, 1.635)
0.76=(1.530, 1.510, 1.515, 1.545, 1.550)
0.91=(1.445, 1.425, 1.440, 1.445, 1.460)
1.07=(1.395, 1.320, 1.390, 1.335, 1.345)
1.25=(1.185, 1.180, 1.190, 1.210, 1.205)
1.42=(1.040, 1.025, 1.035, 1.035, 1.040)
1.56=(0.880, 0.875, 0.880, 0.880, 0.885)
1.71=(0.685, 0.680, 0.675, 0.680, 0.685, 0.615, 0.635, 0.680, 0.675, 0.685)
1.87=(0.530, 0.550, 0.570, 0.575, 0.595)
2.01=(0.435, 0.465, 0.470, 0.480, 0.490)
2.17=(0.355, 0.365, 0.380, 0.390, 0.405)
2.30=(0.270, 0.285, 0.300, 0.310, 0.315)
2.46=(0.190, 0.200, 0.215, 0.220, 0.230)
2.58=(0.130, 0.155, 0.135, 0.150, 0.155)
2.75=(0.070, 0.075, 0.075, 0.080, 0.080)
2.87=(0.045, 0.045, 0.050, 0.050, 0.060)
3.03=(0.030, 0.030, 0.035, 0.035, 0.030)
3.16=(0.025, 0.030, 0.030, 0.025, 0.030)
