[META]
film=FP4+
date=27.01.2023
DIN=20
developer=PMK
dilution=1+2+100
time=25:00
aggitation=60/60/10
temperature=21.0°C

[DATA]
0.10=(1.975, 1.980, 1.980, 2.000, 2.000)
0.25=(1.890, 1.895, 1.905, 1.910, 1.925)
0.42=(1.800, 1.815, 1.830, 1.835, 1.840)
0.60=(1.700, 1.725, 1.730, 1.725, 1.750)
0.76=(1.600, 1.605, 1.620, 1.635, 1.660)
0.91=(1.485, 1.505, 1.525, 1.530, 1.525)
1.07=(1.355, 1.365, 1.370, 1.395, 1.395)
1.25=(1.185, 1.190, 1.200, 1.225, 1.230)
1.42=(1.005, 1.010, 1.025, 1.025, 1.035)
1.56=(0.810, 0.815, 0.825, 0.840, 0.845)
1.71=(0.575, 0.585, 0.590, 0.600, 0.610, 0.605, 0.610, 0.615, 0.615, 0.625)
1.87=(0.484, 0.490, 0.510, 0.540, 0.545)
2.01=(0.385, 0.400, 0.425, 0.430, 0.450)
2.17=(0.310, 0.320, 0.340, 0.350, 0.355)
2.30=(0.240, 0.255, 0.270, 0.275, 0.285)
2.46=(0.160, 0.170, 0.180, 0.190, 0.200)
2.58=(0.105, 0.115, 0.120, 0.130, 0.125)
2.75=(0.060, 0.060, 0.070, 0.065, 0.075)
2.87=(0.040, 0.035, 0.040, 0.040, 0.045)
3.03=(0.030, 0.030, 0.025, 0.025, 0.025)
3.16=(0.020, 0.015, 0.020, 0.020, 0.020)
