[META]
film=FP4+
date=25.01.2023
DIN=20
developer=W665
dilution=stock
time=23:30
aggitation=60/60/10
temperature=21.0°C

[DATA]
0.10=(2.150, 2.170, 2.170, 2.190, 2.180)
0.25=(2.100, 2.110, 2.110, 2.100, 2.110)
0.42=(2.020, 2.020, 2.030, 2.030, 2.030)
0.60=(1.930, 1.970, 1.940, 1.925, 1.965)
0.76=(1.835, 1.850, 1.880, 1.835, 1.875)
0.91=(1.710, 1.730, 1.760, 1.780, 1.800)
1.07=(1.610, 1.635, 1.655, 1.670, 1.670)
1.25=(1.450, 1.470, 1.480, 1.490, 1.515)
1.42=(1.320, 1.325, 1.325, 1.355, 1.345)
1.56=(1.180, 1.180, 1.180, 1.200, 1.210)
1.71=(1.045, 1.030, 1.070, 1.080, 1.095)
1.87=(1.020, 1.020, 1.015, 1.015, 1.020)
2.01=(0.940, 0.930, 0.925, 0.920, 0.925)
2.17=(0.895, 0.860, 0.835, 0.835, 0.855)
2.30=(0.740, 0.750, 0.755, 0.770, 0.780)
2.46=(0.620, 0.640, 0.655, 0.660, 0.675)
2.58=(0.535, 0.540, 0.560, 0.570, 0.580)
2.75=(0.405, 0.415, 0.430, 0.445, 0.465)
2.87=(0.295, 0.310, 0.330, 0.350, 0.350)
3.03=(0.180, 0.190, 0.205, 0.220, 0.230)
3.16=(0.115, 0.120, 0.125, 0.135, 0.145)
